family,entity_id,n_value,m_precision_qubits,hardware_profile,epsilon,status,runtime_seconds,physical_qubits,t_depth,t_count,reason,wall_clock_total_seconds,source_file,exploratory_tail
hhl,hhl_s2_fixed_m,250,4,maj_e6_surface,0.0001,ok,22.274966000000003,89866,64125,20,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,250,6,maj_e6_floquet,0.0001,ok,14.821447200000001,173844,274043,32,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,250,6,maj_e6_surface,0.0001,ok,127.04097600000001,118322,274043,32,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,250,8,maj_e6_floquet,0.0001,ok,67.2261051,437380,1206652,44,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,250,8,maj_e6_surface,0.0001,ok,576.2237580000001,183690,1206652,44,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,500,4,maj_e6_floquet,0.0001,ok,6.6596019,299260,127735,20,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,500,4,maj_e6_surface,0.0001,ok,57.082302000000006,201590,127735,20,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,500,6,maj_e6_floquet,0.0001,ok,30.372705300000003,596076,539650,32,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,500,6,maj_e6_surface,0.0001,ok,260.33747400000004,278478,539650,32,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,500,8,maj_e6_floquet,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,500,8,maj_e6_surface,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,1000,4,maj_e6_floquet,0.0001,ok,13.833267000000001,549604,254987,20,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,1000,4,maj_e6_surface,0.0001,ok,118.57086000000001,367802,254987,20,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,1000,6,maj_e6_floquet,0.0001,ok,60.2916825,846420,1070218,32,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,1000,6,maj_e6_surface,0.0001,ok,516.78585,444690,1070218,32,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,1000,8,maj_e6_floquet,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,1000,8,maj_e6_surface,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,20,4,maj_e6_floquet,0.0001,ok,6.6328335,63756,168399,71049,,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,20,4,maj_e6_surface,0.0001,ok,61.906446,43414,168399,71049,,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,20,6,maj_e6_floquet,0.0001,ok,40.484667300000005,366032,707255,298383,,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,20,6,maj_e6_surface,0.0001,ok,269.897782,144904,707255,298383,,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,20,8,maj_e6_floquet,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,20,8,maj_e6_surface,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,50,4,maj_e6_floquet,0.0001,ok,66.4343568,381160,1154799,540849,,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,50,4,maj_e6_surface,0.0001,ok,569.437344,130500,1154799,540849,,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,50,6,maj_e6_floquet,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,50,6,maj_e6_surface,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,50,8,maj_e6_floquet,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,50,8,maj_e6_surface,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,100,4,maj_e6_floquet,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,100,4,maj_e6_surface,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,100,6,maj_e6_floquet,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,100,6,maj_e6_surface,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,100,8,maj_e6_floquet,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,100,8,maj_e6_surface,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,250,4,maj_e6_floquet,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,250,4,maj_e6_surface,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,250,6,maj_e6_floquet,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,250,6,maj_e6_surface,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,250,8,maj_e6_floquet,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,250,8,maj_e6_surface,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,500,4,maj_e6_floquet,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,500,4,maj_e6_surface,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,500,6,maj_e6_floquet,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,500,6,maj_e6_surface,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,500,8,maj_e6_floquet,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,500,8,maj_e6_surface,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,1000,4,maj_e6_floquet,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,1000,4,maj_e6_surface,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,1000,6,maj_e6_floquet,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,1000,6,maj_e6_surface,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,1000,8,maj_e6_floquet,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
qae,qae_simmc_fixed_m,1000,8,maj_e6_surface,0.0001,engine_failure,,,,,child_process_exit_-9,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s1_fixed_m,10000,4,maj_e6_floquet,0.0001,ok,70.4595549,5301176,1246765,20,,251.829809802,hhl_s1_fixed_m__N10000__m04__maj_e6_floquet__eps1e-04.json,true
hhl,hhl_s1_fixed_m,10000,6,maj_e6_floquet,0.0001,engine_failure,,,,,child_process_exit_-9,608.4290789450001,hhl_s1_fixed_m__N10000__m06__maj_e6_floquet__eps1e-04.json,true
hhl,hhl_s1_fixed_m,20000,4,maj_e6_floquet,0.0001,engine_failure,,,,,child_process_exit_-9,439.60804930999984,hhl_s1_fixed_m__N20000__m04__maj_e6_floquet__eps1e-04.json,true
hhl,hhl_s1_fixed_m,2000,4,maj_e6_floquet,0.0001,ok,13.5727305,1049272,249452,20,,47.275653422000005,hhl_s1_fixed_m__N2000__m04__maj_e6_floquet__eps1e-04.json,true
hhl,hhl_s1_fixed_m,2000,6,maj_e6_floquet,0.0001,ok,59.61370170000001,1343448,1056599,32,,207.50618112999996,hhl_s1_fixed_m__N2000__m06__maj_e6_floquet__eps1e-04.json,true
hhl,hhl_s1_fixed_m,5000,4,maj_e6_floquet,0.0001,ok,35.2329789,2841168,623450,20,,121.50477469400016,hhl_s1_fixed_m__N5000__m04__maj_e6_floquet__eps1e-04.json,true
hhl,hhl_s1_fixed_m,5000,6,maj_e6_floquet,0.0001,engine_failure,,,,,child_process_exit_-9,471.03072081899995,hhl_s1_fixed_m__N5000__m06__maj_e6_floquet__eps1e-04.json,true
hhl,hhl_s2_fixed_m,10000,4,maj_e6_floquet,0.0001,engine_failure,,,,,child_process_exit_-9,423.0631624570001,hhl_s2_fixed_m__N10000__m04__maj_e6_floquet__eps1e-04.json,true
hhl,hhl_s2_fixed_m,10000,6,maj_e6_floquet,0.0001,engine_failure,,,,,child_process_exit_-9,1082.8342727830002,hhl_s2_fixed_m__N10000__m06__maj_e6_floquet__eps1e-04.json,true
hhl,hhl_s2_fixed_m,2000,4,maj_e6_floquet,0.0001,ok,28.7127309,1342472,509465,20,,93.2776472139999,hhl_s2_fixed_m__N2000__m04__maj_e6_floquet__eps1e-04.json,true
hhl,hhl_s2_fixed_m,2000,6,maj_e6_floquet,0.0001,engine_failure,,,,,child_process_exit_-9,387.95889527500003,hhl_s2_fixed_m__N2000__m06__maj_e6_floquet__eps1e-04.json,true
hhl,hhl_s2_fixed_m,5000,4,maj_e6_floquet,0.0001,ok,71.74707330000001,2824528,1272946,20,,252.89350100700017,hhl_s2_fixed_m__N5000__m04__maj_e6_floquet__eps1e-04.json,true
hhl,hhl_s2_fixed_m,5000,6,maj_e6_floquet,0.0001,engine_failure,,,,,child_process_exit_-9,581.8398726279997,hhl_s2_fixed_m__N5000__m06__maj_e6_floquet__eps1e-04.json,true
